Designator,Mid X,Mid Y,Rotation,Layer
D1,78.0,-49.0,90.0,bottom
D10,96.0,-83.0,90.0,bottom
D11,114.0,-83.0,90.0,bottom
D12,132.0,-83.0,90.0,bottom
D13,78.0,-100.0,90.0,bottom
D14,96.0,-100.0,90.0,bottom
D15,114.0,-100.0,90.0,bottom
D16,132.0,-100.0,90.0,bottom
D2,96.0,-49.0,90.0,bottom
D3,114.0,-48.81,90.0,bottom
D4,132.0,-49.0,90.0,bottom
D5,78.0,-65.81,90.0,bottom
D6,96.0,-65.81,90.0,bottom
D7,114.0,-66.0,90.0,bottom
D8,132.0,-66.0,90.0,bottom
D9,78.0,-83.0,90.0,bottom
S1,69.0,-46.2625,0.0,top
S10,87.0,-80.2625,0.0,top
S11,105.0,-80.2625,0.0,top
S12,123.0,-80.2625,0.0,top
S13,69.0,-97.2625,0.0,top
S14,87.0,-97.2625,0.0,top
S15,105.0,-97.2625,0.0,top
S16,123.0,-97.2625,0.0,top
S2,87.0,-46.2625,0.0,top
S3,105.0,-46.2625,0.0,top
S4,123.0,-46.2625,0.0,top
S5,69.0,-63.2625,0.0,top
S6,87.0,-63.2625,0.0,top
S7,105.0,-63.2625,0.0,top
S8,123.0,-63.2625,0.0,top
S9,69.0,-80.2625,0.0,top
U1,155.0,-69.785,0.0,top
